company,title,site,deadline,url,job_text
(주)그립컴퍼니,Business Analyst(비즈니스 데이터 분석) 담당자 (계약직/1년),Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53499884&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,Business Analyst(비즈니스 데이터 분석) 담당자 (계약직/1년)
(주)베가스,[Begas] 2026 데이터분석 전문가 신입·경력 모집,Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53349319&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,[Begas] 2026 데이터분석 전문가 신입·경력 모집
(주)엑심베이,데이터 분석 기반 Risk Management(RM),Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53592881&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,데이터 분석 기반 Risk Management(RM)
(주)지윤이앤씨,파이썬 기반 데이터 분석 및 SW 개발 신입 채용,Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53533948&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,파이썬 기반 데이터 분석 및 SW 개발 신입 채용
나이스지니데이타주식회사,데이터 분석/가공 및 컨설팅 수행 (상주 및 비상주),Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53609148&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,데이터 분석/가공 및 컨설팅 수행 (상주 및 비상주)
페이머스스튜디오(주),KREAM 검수센터 데이터 분석 및 리포트 담당자,Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53523591&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,KREAM 검수센터 데이터 분석 및 리포트 담당자
(주)넥슨코리아,[인텔리전스랩스그룹] 게임 데이터 분석가,Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53157515&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,[인텔리전스랩스그룹] 게임 데이터 분석가
(주)넥슨코리아,[플랫폼본부] 마비노기시너지실 데이터 분석가,Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53079023&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,[플랫폼본부] 마비노기시너지실 데이터 분석가
(주)에버온,[전기차충전서비스기업 에버온] 데이터분석기획자 채용,Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53458144&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,[전기차충전서비스기업 에버온] 데이터분석기획자 채용
(주) 씨나브로코리아,"(온라인) 데이터분석, 발주처리, 판매관리, 쇼핑몰운용 경력모집",Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53450312&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,"(온라인) 데이터분석, 발주처리, 판매관리, 쇼핑몰운용 경력모집"
라이트밸런스(주),[쿠팡·네이버 상품관리 MD] 데이터 분석/상품기획 전반 담당자,Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53633287&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,[쿠팡·네이버 상품관리 MD] 데이터 분석/상품기획 전반 담당자
기아(주),[인턴십]Tech-Driven Smart Manufacturing (SDV 데이터 분석),Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53567995&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,[인턴십]Tech-Driven Smart Manufacturing (SDV 데이터 분석)
(주)파인스태프,"[무신사/성수] 상품운영 및 기획MD, AMD (데이터분석 및 리포트)",Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53570727&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,"[무신사/성수] 상품운영 및 기획MD, AMD (데이터분석 및 리포트)"
씨제이올리브영(주),[CJ올리브영] 프로덕트 인사이트/데이터 분석가,Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52721281&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,[CJ올리브영] 프로덕트 인사이트/데이터 분석가
(주)데스코,[(주)데스코] 데이터 분석·업무 자동화·AX - 경영지원팀(광명),Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53333868&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,[(주)데스코] 데이터 분석·업무 자동화·AX - 경영지원팀(광명)
(주)미리디,[미리디] 데이터 분석가 (Data Analyst),Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53105169&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,[미리디] 데이터 분석가 (Data Analyst)
